Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.59,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.60,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.61,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,5,4,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.62,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.63,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.64,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.65,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.66,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.67,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,1,3,0,0,0,0,1,1,0,1,NA,NA,NA,NA,1,Headstart
Headstart.Clutch.68,2023,Eurasian Curlew,Numenius arquata,Moorland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.69,2023,Eurasian Curlew,Numenius arquata,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,2,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.70,2024,Eurasian Curlew,Numenius arquata,Military,England,Suffolk,['Suffolk'],1.0492,52.2539,4,2,2,0,0,0,0,2,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.71,2024,Eurasian Curlew,Numenius arquata,Military,England,Gloucestershire,['Gloucestershire'],-2.1524,51.8197,4,3,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.72,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.73,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.74,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.75,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.76,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
